Month of Order Date,Category,Target,Region
,,,
April 2018,electronics,"₹9,000.00",North
May-18,ELECTRONICS,"9,000",
,,,West
February 2019,Electronics,16000.0,
7/2018,CLOTHING,"₹14,000.00",
August 2018,furniture,10900.0,
April 2018,clothing,"₹12,000.00",North
December 2018,furniture,11400.0,
7/2018,Furniture,"₹10,800.00",
October 2018,Furniture,"₹11,100.00",East
7/2018,Electronics,"₹9,000.00",
Nov-18,Electronics,9000.0,
Nov-18,Clothing,16000.0,
Sep-18,Clothing,14000.0,
May-18,Clothing,12000.0,
Furniture,Apr-18,10400.0,
7/2018,CLOTHING,"₹14,000.00",
1/2019,Furniture,"₹11,500.00",
August 2018,clothing,14000.0,
October 2018,ELECTRONICS,"₹9,000.00",West
June 2018,Electronics,9000.0,
April 2018,furniture,"₹10,400.00",South
Sep-18,Electronics,9000.0,
Apr-18,Furniture,TBD,
Sep-18,FURNITURE,"11,000",
Mar-19,Furniture,11800.0,
December 2018,electronics,9000.0,
May-18,Furniture,10500.0,
December 2018,furniture,11400.0,
1/2019,Cloth.,"₹16,000.00",
June 2018,Furniture,10600.0,
1/2019,Electronics,"₹16,000.00",
Mar-19,Clothing,16000.0,
Mar-19,ELECTRONICS,"16,000",
February 2019,FURNITURE,"11,600",
February 2019,Clothing,16000.0,
October 2018,Clothing,"₹16,000.00",
May-18,Clothing,Pending,
December 2018,clothing,"16,000",
Nov-18,Furn.,"Rs. 11,300.00",
June 2018,Cloth.,"Rs. 12,000.00",
August 2018,electronics,"Rs. 9,000.00",
June 2018,Furniture,10600.0,
